city,latitude,longitude,station,dominant_pollutant,timestamp,timestamp_timezone,aqi,AQI_meaning,AQI_health_implications,pm2.5,pm10,o3,co,no2,so2,dew,h,p,t,w
Firozabad,27.1594,78.3953,"Vibhab Nagar, Firozabad, India",o3,2024-06-30 12:00:00,+05:30,5.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",28.0,23.0,4.8,2.6,5.1,3.0,27.7,94.5,735.4,30.2,1.0599999999999998
Kochi,33.5489621,133.5987948,"Kera, Kochi, Kochi Prefecture, Japan (介良高知市)",pm2.5,2024-06-30 15:00:00,+09:00,34.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",34.0,19.0,13.6,4.706329113924051,1.0,1.5,25.8,88.9,1007.1,27.8,5.6
Dehradun,30.269444,78.044167,"Doon University, Dehradun, India",pm2.5,2024-06-30 12:00:00,+05:30,81.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",81.0,35.0,11.8,4.9,0.1,0.3,25.7,68.57666666666667,800.2400000000001,31.2,1.7533333333333336
Durgapur,23.5404352,87.2892225,"Sidhu Kanhu Indoor Stadium, Durgapur, India",pm2.5,2024-06-30 13:00:00,+05:30,149.0,Unhealthy for sensitive group,Members of sensitive groups may experience health effects. The general public is not likely to be affected.,149.0,68.0,0.5,5.8,11.8,3.7,26.4,64.44,998.825,32.0,0.45999999999999996
Asansol,23.685297,86.945968,"Asansol Court Area, Asansol, India",pm2.5,2024-06-30 13:00:00,+05:30,154.0,Unhealthy,Everyone may begin to experience health effects; members of sensitive groups may experience more serious health effects.,154.0,58.0,31.3,7.3,11.8,5.2,26.4,87.2175,998.675,32.0,0.4775
Ajmer,26.470859,74.646594,"Civil Lines, Ajmer, India",pm2.5,2024-06-30 13:00:00,+05:30,75.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",75.0,52.0,12.8,3.1,4.2,4.5,25.1,64.875,717.6025,36.042500000000004,1.1275
Gulbarga,17.321993,76.822628,"Lal Bahadur Shastri Nagar, Kalaburagi, India",co,2024-06-30 12:00:00,+05:30,6.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",65.0,35.0,0.3,6.1,4.2,0.3,23.8,1.1133333333333333,954.7,26.6,0.03666666666666667
Ujjain,23.182719,75.768218,"Mahakaleshwar Temple, Ujjain, India",pm2.5,2024-06-30 13:00:00,+05:30,55.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",55.0,41.0,21.0,3.4,4.3,2.9,24.0,67.0,1005.5,29.2,7.4
Loni,28.757294,77.278792,"Loni, Ghaziabad, India",pm2.5,2024-06-30 13:00:00,+05:30,177.0,Unhealthy,Everyone may begin to experience health effects; members of sensitive groups may experience more serious health effects.,177.0,73.0,12.7,7.3,4.7,3.0,27.0,64.0,740.0,30.0,1.9
Siliguri,26.6883049,88.412668,"Ward-32 Bapupara, Siliguri, India",pm2.5,2024-06-30 13:00:00,+05:30,59.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",59.0,28.0,6.7,4.1,8.0,3.0,26.8,97.2325,989.925,27.0,1.1600000000000001
Jhansi,25.4547,78.6039,"Shivaji Nagar, Jhansi, India",pm2.5,2024-06-30 13:00:00,+05:30,57.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",57.0,30.0,0.3,2.1,2.2,7.9,26.9,87.07000000000001,728.6533333333333,29.4,0.8266666666666667
Ulhasnagar,19.25292,73.142019,"Khadakpada, Kalyan, India",pm10,2024-06-30 13:00:00,+05:30,434.0,Hazardous,Health alert: everyone may experience more serious health effects.,349.0,434.0,3.2,3.2,11.2,10.8,25.5,89.45,1000.46,28.5,0.68
Belgaum,15.888653,74.541751,"Ramteerth Nagar, Belgaum, India",pm2.5,2024-06-28 22:00:00,+05:30,102.0,Unhealthy for sensitive group,Members of sensitive groups may experience health effects. The general public is not likely to be affected.,102.0,58.0,8.0,8.9,9.3,3.8,21.0,51.10666666666666,1010.5,23.0,0.10333333333333335
Mangalore,12.88925,74.853,"Kadri, Mangalore, India",pm2.5,2024-06-30 13:00:00,+05:30,61.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",61.0,51.0,12.6,8.1,2.2,6.2,26.0,78.4375,1009.0,26.0,0.8825000000000001
Ambattur,13.0664,80.2112,"Arumbakkam, Chennai, Chennai, India",pm10,2024-06-30 13:00:00,+05:30,53.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",49.0,53.0,16.22236842105263,4.706329113924051,6.365625,4.0,,72.5,756.25,32.875,1.5
London,51.5073509,-0.1277583,London,pm2.5,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,8.0,19.9,0.7,5.5,3.3,,85.0,1013.4,17.2,1.5
Manchester,53.48152,-2.237881,"Manchester Piccadilly, United Kingdom",o3,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",12.0,8.0,20.7,4.706329113924051,2.1,0.9,,83.8,1012.8,11.6,5.2
Birmingham,52.486243,-1.890401,Birmingham,pm2.5,2021-10-01 15:00:00,+01:00,13.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",13.0,5.0,27.3,4.706329113924051,3.2,3.6504132231404958,,61.5,1009.0,14.4,4.0
Glasgow,55.85917,-4.258889,"Glasgow Kerbside, United Kingdom",pm2.5,2024-06-30 06:00:00,+01:00,28.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",28.0,15.0,19.6,4.706329113924051,6.3,0.7,9.0,76.0,1013.0,13.0,2.5
Liverpool,53.37287,-3.022722,"Wirral Tranmere, United Kingdom",o3,2024-06-30 07:00:00,+01:00,23.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",16.0,9.0,23.4,4.706329113924051,0.5,0.6,,77.0,1010.1,13.0,2.594845505617977
Newcastle,-32.93118,151.7596,Newcastle Lower Hunter,pm10,2024-06-30 17:00:00,+10:00,13.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",4.0,13.0,16.22236842105263,4.706329113924051,1.0,1.5,,86.0,1014.4,15.0,9.5
Sheffield,53.378622,-1.478096,"Sheffield Devonshire Green, United Kingdom",o3,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,7.0,20.5,4.706329113924051,34.8,1.7,,69.0,1005.7,13.8,1.7
Leeds,53.80378,-1.546472,"Leeds Centre, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,17.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,7.0,16.7,1.9,1.9,1.1,,83.8,1012.2,12.2,0.4
Bristol,51.462839,-2.584482,"Bristol St Paul's, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,25.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,13.0,19.4,4.706329113924051,1.6,0.2,,83.3,1014.0,12.7,4.6
Nottingham,52.95473,-1.146447,"Nottingham Centre, United Kingdom",pm2.5,2024-01-30 16:00:00,+00:00,55.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",55.0,22.0,17.5,4.706329113924051,16.0,1.1,,58.0,996.0,10.0,0.7
Southampton,50.90814,-1.395778,"Southampton Centre, United Kingdom",o3,2024-06-30 07:00:00,+01:00,17.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,11.0,17.1,4.706329113924051,3.7,0.7,,91.0,1011.0,14.4,0.2
Portsmouth,50.82881,-1.068583,"Portsmouth, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,33.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",33.0,11.0,15.8,4.706329113924051,3.5,0.6,,66.0,1011.9,16.7,3.3
Cardiff,51.48178,-3.17625,"Cardiff Centre, United Kingdom",o3,2024-06-30 08:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",5.0,2.0,21.1,4.706329113924051,1.6,0.2,,97.0,1013.8,13.0,0.5
Belfast,54.59965,-5.928833,"Belfast Centre, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,35.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",35.0,20.0,17.2,0.2,4.2,0.5,9.0,81.0,1015.0,12.0,2.0
Dublin,53.345053,-6.254344,"Pearse Street, Dublin 2, Ireland",pm2.5,2024-06-30 06:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",20.0,8.0,8.2,4.706329113924051,5.3,3.6504132231404958,,89.5,1016.0,11.1,2.5
Cork,51.911111000177,-8.4750000002426,"South Link Road, Cork, Ireland",so2,2024-06-30 06:00:00,+01:00,0.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",51.30508474576271,40.24025974025974,17.5,4.706329113924051,1.5,0.2,7.0,81.0,1018.0,10.0,3.0
Limerick,52.66385,-8.626646,"O'Connell St, Limerick, Ireland",pm2.5,2024-06-30 08:00:00,+01:00,28.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",28.0,8.0,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,10.0,87.0,1018.0,12.0,3.0
Galway,53.292096,-8.987049,"Briarhill, Co. Galway, Ireland",pm2.5,2024-06-30 06:00:00,+01:00,17.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,9.0,16.22236842105263,4.706329113924051,11.3,3.6504132231404958,9.0,87.0,1018.0,11.0,1.5
Waterford,52.263829,-7.117967,"Merchants Quay, Waterford City, Ireland",pm2.5,2024-06-30 06:00:00,+01:00,18.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",18.0,7.0,16.1,4.706329113924051,1.1,3.6504132231404958,,85.0,1016.4,10.0,5.0
Derry,55.002851,-7.331128,"Derry Rosemount, United Kingdom",o3,2024-06-30 07:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,12.0,20.4,4.706329113924051,0.5,0.6,,76.5,1009.2,12.0,6.0
Dundalk,39.2981,-76.604698,"Oldtown, Maryland, USA",pm2.5,2022-01-13 06:00:00,-05:00,63.0,Moderate,"Air quality is acceptable; however, for some pollutants there may be a moderate health concern for a very small number of people who are unusually sensitive to air pollution.",63.0,40.24025974025974,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,,83.0,1015.8,-1.6,1.0
Lisburn,54.543516,-6.008608,"Lisburn Dunmurry Seymour Hill, United Kingdom",pm2.5,2024-06-30 04:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,10.0,19.5,4.706329113924051,1.4,1.1,9.0,81.0,1014.0,12.0,2.5
Newry,54.180381,-6.33924,"Newry Canal Street, United Kingdom",pm10,2024-06-30 07:00:00,+01:00,16.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,16.0,19.5,4.706329113924051,3.2,1.1,,85.0,1015.5,12.2,2.2
Bangor,44.817398,-68.772762,"Bangor MSS, Maine, USA",pm2.5,2024-06-30 02:00:00,-05:00,15.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",15.0,8.0,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,,94.3,1010.9,15.9,4.8
Brighton,43.145021,-77.557608,"Rochester Near Rd, New York, USA",pm2.5,2024-06-30 02:00:00,-04:00,29.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",29.0,40.24025974025974,32.8,1.0,2.3,3.6504132231404958,,96.0,1011.2,21.8,1.0
Cambridge,52.199575,0.12774,"Cambridge Gonville Place, United Kingdom",pm2.5,2022-05-13 09:00:00,+01:00,30.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",30.0,11.0,25.0,4.706329113924051,5.1,3.7,,61.7,1017.4,15.0,0.2
Carlisle,54.894834,-2.945307,"Carlisle Roadside, United Kingdom",pm2.5,2021-06-21 11:00:00,+01:00,46.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",46.0,15.0,30.0,4.706329113924051,17.9,3.6504132231404958,5.0,58.0,1018.0,13.0,3.6
Chester,39.8356,-75.3725,"Chester, Pennsylvania, USA",pm2.5,2024-06-30 01:00:00,-04:00,25.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,40.24025974025974,16.8,4.706329113924051,4.2,3.6504132231404958,,96.0,1015.5,24.4444,1.9
Coventry,52.411563,-1.560228,"Coventry Allesley, United Kingdom",o3,2024-06-30 07:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,9.0,19.5,4.706329113924051,1.0,3.6504132231404958,,75.3,1012.7,13.8,2.6
Derby,39.838199,-104.94984,"Welby, Colorado, USA",pm10,2024-06-29 23:00:00,-06:00,14.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",68.0,14.0,12.6,2.9,4.2,0.6,,76.0,1026.0,17.2222,1.0
Durham,35.9919,-78.8964,"Durham Armory, North Carolina, USA",pm2.5,2024-06-30 02:00:00,-05:00,25.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,12.0,15.2,4.706329113924051,6.365625,0.2,,80.5,1022.5,27.6,0.3
Exeter,-41.303,146.951,Exeter,pm2.5,2024-06-30 17:00:00,+10:00,5.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",5.0,2.0,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,3.9,74.3,972.6172142857143,8.2,4.1
Kingston,44.219722,-76.521111,"Kingston, Ontario, Canada",o3,2024-06-30 03:00:00,-05:00,34.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,40.24025974025974,34.4,4.706329113924051,1.1,3.6504132231404958,20.0,100.0,1009.8,20.0,2.5
Lancaster,34.66959,-118.13068,"Lancaster-Division Street, Los Angeles, California",pm2.5,2022-12-19 13:00:00,-08:00,30.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",30.0,12.0,1.6,4.706329113924051,7.5,3.6504132231404958,-7.0,27.0,1024.3,11.0,2.0
Leicester,52.619823,-1.127311,"Leicester University, United Kingdom",o3,2024-06-30 07:00:00,+01:00,19.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,8.0,19.2,4.706329113924051,2.5,1.1,,75.3,1011.7,13.5,2.0
Lincoln,40.812558,-96.675733,"Llchd Bam, Nebraska, USA",pm2.5,2024-06-30 01:00:00,-06:00,13.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",13.0,40.24025974025974,16.22236842105263,4.706329113924051,6.365625,3.6504132231404958,,65.7,508.7,20.1,2.6
Londonderry,55.002851,-7.331128,"Derry Rosemount, United Kingdom",o3,2024-06-30 07:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,12.0,20.4,4.706329113924051,0.5,0.6,,76.5,1009.2,12.0,6.0
Oxford,51.744806,-1.260278,"Oxford St Ebbes, United Kingdom",o3,2024-06-30 07:00:00,+01:00,23.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,7.0,23.1,4.706329113924051,1.0,3.6504132231404958,,72.6,1013.3,14.2,0.4
Peterborough,44.301917,-78.346222,"Peterborough, Ontario, Canada",pm2.5,2024-06-30 02:00:00,-05:00,25.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",25.0,40.24025974025974,16.8,4.706329113924051,2.0,3.6504132231404958,17.0,100.0,1009.1,17.0,1.0
Plymouth,50.37167,-4.142361,"Plymouth Centre, United Kingdom",o3,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,9.0,21.1,4.706329113924051,1.0,3.6504132231404958,,83.2,1014.5,16.6,7.2
Preston,53.76559,-2.680353,"Preston, United Kingdom",o3,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,9.0,21.1,4.706329113924051,2.3,3.6504132231404958,,86.4,1013.3,11.1,4.2
Salford,53.48481,-2.334139,"Salford Eccles, United Kingdom",o3,2024-06-30 07:00:00,+01:00,20.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",14.0,10.0,20.3,4.706329113924051,2.7,0.9,,79.0,1012.9,12.3,3.0
Sheffield,53.378622,-1.478096,"Sheffield Devonshire Green, United Kingdom",o3,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",17.0,7.0,20.5,4.706329113924051,34.8,1.7,,69.0,1005.7,13.8,1.7
Stirling,56.11472,-3.932178,"Stirling Craig's Roundabout, United Kingdom",,2024-06-29 22:00:00,+01:00,55.35672514619883,Invalid AQI value,Invalid AQI value,19.0,10.0,16.22236842105263,4.706329113924051,1.8,4.1,,82.0,1012.9,11.6,0.2
Stoke,53.02821,-2.175133,"Stoke-on-Trent Centre, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,21.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",21.0,11.0,17.9,4.706329113924051,2.8,3.6504132231404958,,90.5,1012.6,12.7,0.5
Sunderland,54.88361,-1.406878,"Sunderland Silksworth, United Kingdom",pm2.5,2024-06-30 07:00:00,+01:00,23.0,Good,"Air quality is considered satisfactory, and air pollution poses little or no risk",23.0,11.0,13.9,4.706329113924051,5.9,0.7,,80.6,1011.0,12.7,0.6
